Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
Timeout is introduced for the Alert Ingestion when BKK Service replies slowly,DIPP-39,10038,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,03/Feb/23 9:53 AM,21/Feb/23 11:28 AM,30/Mar/23 12:59 PM,21/Feb/23 11:28 AM,,0,,,,"As a developer, I want to stop the alert ingestion service when the alert data endpoint replies slowly, so that the service stops gracefully.

 

AC

* Timeout is configurable for fetching the endpoint (through environment variables)
* No data is persisted
* Error is logged to the output
* Default response time must be lower than 30 sec, if more than that it is considered slow",,Adam_Aranyi,,,,63cfe31ba05386069cda49af,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:4,DIPP Sprint 3,,,,2.0,,,,,,,Done
Handling the case when BKK Service is down while consuming Alert data,DIPP-38,10037,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,03/Feb/23 9:51 AM,23/Feb/23 9:23 AM,30/Mar/23 12:59 PM,22/Feb/23 1:52 PM,,0,2_review,,,"As a developer, I want to stop the alert ingestion service when the alert data endpoint is down, so that the service stops gracefully.

 

AC

* Timeout is configurable for fetching the endpoint (through environment variables)
* No data is persisted
* Error is logged to the output",,Adam_Aranyi,,,,63cfe31ba05386069cda49af,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:i,DIPP Sprint 4,,,,2.0,,,,,,,Done
Create data flow diagram and star schema,DIPP-36,10035,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,03/Feb/23 9:04 AM,08/Feb/23 1:07 PM,30/Mar/23 12:59 PM,08/Feb/23 1:07 PM,,0,BKK,,,"As a developer, I want to define what input columns should be used and how to transform them, so that the transformation layer can be implemented.

AC

* It follows the designed [schema|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management]
* It is documented and available on Confluence",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00039:9,DIPP Sprint 2,,,,,,,,,10022,Schema management,Done
Timeout is introduced for the Position Ingestion when BKK Service replies slowly,DIPP-35,10034,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Levente_Nagy1,63cfe31bf386bda5dcab317d,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:31 PM,20/Feb/23 2:03 PM,30/Mar/23 12:59 PM,20/Feb/23 2:03 PM,,0,,,,"As a developer, I want to stop the position ingestion service when the position data endpoint replies slowly, so that the service stops gracefully.



AC

* Timeout is configurable for fetching the endpoint (through environment variables)
* No data is persisted
* Error is logged to the output
* Default response time must be lower than 30 sec, if more than that it is considered slow",,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,,,DIPP-31,,,,,,,,,,,0|i00033:6,DIPP Sprint 3,,,,2.0,,,,,,,Done
Handling the case when BKK Service is down while consuming Position data,DIPP-34,10033,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Levente_Nagy1,63cfe31bf386bda5dcab317d,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:30 PM,20/Feb/23 2:03 PM,30/Mar/23 12:59 PM,20/Feb/23 2:03 PM,,0,,,,"As a developer, I want to stop the position ingestion service when the position data endpoint is down, so that the service stops gracefully.



AC

* Timeout is configurable for fetching the endpoint (through environment variables)
* No data is persisted
* Error is logged to the output",,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,,,DIPP-30,,,,,,,,,,,0|i00033:5,DIPP Sprint 3,,,,2.0,,,,,,,Done
Position Ingestion is contrainerized,DIPP-33,10032,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:29 PM,07/Mar/23 8:53 AM,30/Mar/23 12:59 PM,07/Mar/23 8:53 AM,,0,2_approve,,,,,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,,,,DIPP-32,,,,,,,,,,0|i0000f:d,DIPP Sprint 4,,,,1.0,,,,,10021,Docker Compose,Done
Trip Ingestion is containerized,DIPP-32,10031,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:29 PM,07/Mar/23 8:53 AM,30/Mar/23 12:59 PM,07/Mar/23 8:53 AM,,0,2_approve,,,"As a developer, I want to containerize the trip ingestion, so that can run as a platform-independent service.



AC

* Ingestion can be executed and can be configured through Docker
* The same Java version must be used through the build as the application written",,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,DIPP-40,DIPP-42,,,DIPP-33,,,,,,,,,0|i0000f:9,DIPP Sprint 4,,,,5.0,,,,,10021,Docker Compose,Done
Timeout is introduced for the Trip Ingestion when BKK Service replies slowly,DIPP-31,10030,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:29 PM,20/Feb/23 9:10 AM,30/Mar/23 12:59 PM,20/Feb/23 9:10 AM,,0,3_review,,,"As a developer, I want to stop the trip ingestion service when the trip data endpoint replies slowly, so that the service stops gracefully.



AC

* Timeout is configurable for fetching the endpoint (through environment variables)
* No data is persisted
* Error is logged to the output
* Default response time must be lower than 30 sec, if more than that it is considered slow",,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,DIPP-35,,,,,,,,,,,,,0|i00039:1,DIPP Sprint 3,,,,3.0,,,,,,,Done
Handling the case when BKK Service is down while consuming Trip data,DIPP-30,10029,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Levente_Nagy1,63cfe31bf386bda5dcab317d,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:28 PM,20/Feb/23 9:12 AM,30/Mar/23 12:59 PM,20/Feb/23 9:12 AM,,0,,,,"As a developer, I want to stop the trip ingestion service when the trip data endpoint is down, so that the service stops gracefully.



AC

* Timeout is configurable for fetching the endpoint (through environment variables)
* No data is persisted
* Error is logged to the output",,Andor Herendi,Levente_Nagy1,,,63ce6514f6e1b5431616179f,63cfe31bf386bda5dcab317d,,,,,,,,,,,,,,DIPP-34,,,,,,,,,,,,,0|i00033:9,DIPP Sprint 3,,,,3.0,"14/Feb/23 1:45 PM;63cfe31bf386bda5dcab317d;It was done in DIPP-31
Link: [https://dataint23.atlassian.net/browse/DIPP-31|https://dataint23.atlassian.net/browse/DIPP-31|smart-link] ",,,,,,Done
Code coverage are measured in Java module (Vehicle position and trip updates),DIPP-29,10028,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,01/Feb/23 2:26 PM,10/Feb/23 10:06 AM,30/Mar/23 12:59 PM,10/Feb/23 10:06 AM,,0,,,,"As a developer, I want to measure the code coverage of individual modules, so that I can be more certain relevant code paths are complying the expected behavior.



Acceptance Criteria (AC)

* Jacoco must be used to measure code coverage
* Report to be created about code coverage (should not be stored anywhere)
* Minimum coverage is not lower than 60%
* If the target is not met then the build should fail",,Andor Herendi,Gábor Fábián,,,63ce6514f6e1b5431616179f,63cfe31ba197e05f9dad5aa6,,,,,,,,,,,,,,DIPP-49,,,,,,,,,,,,,0|i0003a:w,DIPP Sprint 2,,,,5.0,"08/Feb/23 10:31 AM;63cfe31ba197e05f9dad5aa6;On what element are we measuring code coverage?

* *BUNDLE*
* -PACKAGE-
* -CLASS-

What coverage counter should we use?

* *INSTRUCTION*
* -BRANCH-

Do we want a rule for the number of missed classes?

*NO*

Do we want to have cyclomatic complecity check as well?

*NO*",,,,,,Done
Create business glossary,DIPP-27,10026,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,31/Jan/23 3:35 PM,07/Feb/23 9:14 AM,30/Mar/23 12:59 PM,07/Feb/23 9:14 AM,,0,,,,"Create a glossary of BKK related terms and their definitions.

Upload it to wiki page.
[https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|https://dataint23.atlassian.net/wiki/spaces/SD/pages/753665/Datawarehouse+schema+management|smart-link] ",,Adam Brett,Andor Herendi,Peter_Hegedus3,Sandor Kazi,63d39e92f6e1b543161772c7,63ce6514f6e1b5431616179f,63cfe31b16dfc2b1fbca1f76,62fbb4260bb03d8a6cb28491,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,DIPP Sprint 1,,,,,06/Feb/23 1:34 PM;63ce6514f6e1b5431616179f;LGTM,"06/Feb/23 1:37 PM;62fbb4260bb03d8a6cb28491;vehicle_sid úgyfelejtődött, amúgy jó lesz.",06/Feb/23 2:31 PM;63cfe31b16dfc2b1fbca1f76;LGTM,,10022,Schema management,Done
Create a mock docker container for a java application,DIPP-26,10025,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Peter_Hegedus3,63cfe31b16dfc2b1fbca1f76,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 3:21 PM,10/Feb/23 9:30 AM,30/Mar/23 12:59 PM,10/Feb/23 9:30 AM,,0,,,,,,Peter_Hegedus3,Tamas Adami,,,63cfe31b16dfc2b1fbca1f76,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,DIPP-22,,,,,,,,,,0|i00039:2,DIPP Sprint 2,,,,,31/Jan/23 11:54 AM;63cfe31b16dfc2b1fbca1f76;GitLab branch feature/DIPP-26 access: [https://githyd.epam.com/peter_hegedus3/bkk-opendata-python/-/tree/feature/DIPP-26|https://githyd.epam.com/peter_hegedus3/bkk-opendata-python/-/tree/feature/DIPP-26],31/Jan/23 11:57 AM;63cfe31b16dfc2b1fbca1f76;PR: [https://githyd.epam.com/peter_hegedus3/bkk-opendata-python/-/merge_requests/1|https://githyd.epam.com/peter_hegedus3/bkk-opendata-python/-/merge_requests/1],,,,,Done
Investigate Futár API,DIPP-25,10024,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Andor Herendi,63ce6514f6e1b5431616179f,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 3:17 PM,08/Feb/23 1:05 PM,30/Mar/23 12:59 PM,08/Feb/23 1:05 PM,,0,,,,,,Adam_Posta,Tamas Adami,,,63cfe31bc565900ff4050272,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,DIPP-15,,,,,,,,,,0|i00039:i,DIPP Sprint 2,,,,,31/Jan/23 5:54 PM;63cfe31bc565900ff4050272;Updated [https://dataint23.atlassian.net/wiki/spaces/SD/pages/33147/Scope|https://dataint23.atlassian.net/wiki/spaces/SD/pages/33147/Scope|smart-link] ,,,,,,Done
Ingestion - Időjárás,DIPP-24,10023,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Levente_Nagy1,63cfe31bf386bda5dcab317d,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 12:49 PM,13/Feb/23 12:34 PM,30/Mar/23 12:59 PM,13/Feb/23 12:34 PM,,0,Ingestion,,,PR: [https://githyd.epam.com/levente_nagy1/dipp_weather_data_ingestion/-/merge_requests/1|https://githyd.epam.com/levente_nagy1/dipp_weather_data_ingestion/-/merge_requests/1],,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,DIPP-15,,,,,,,,,,0|i00039:1i,DIPP Sprint 2,,,,,13/Feb/23 9:10 AM;557058:75793878-96f9-421a-b729-5480491e22d6;3 review done ✅ ,,,,,,Done
Schema management,DIPP-23,10022,Epic,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam Brett,63d39e92f6e1b543161772c7,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 12:47 PM,23/Feb/23 12:17 PM,30/Mar/23 12:59 PM,08/Feb/23 1:07 PM,20/Feb/23 12:00 AM,0,,,,"* create a business glossary
* identify what columns are necessary for product
* create data flow diagram (DFD)
* create star schema",,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000m:y,,,,,,,,,,,,Done
Docker Compose,DIPP-22,10021,Epic,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Peter_Hegedus3,63cfe31b16dfc2b1fbca1f76,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 12:46 PM,28/Mar/23 5:07 PM,30/Mar/23 12:59 PM,28/Mar/23 5:07 PM,,0,,,,cc [~accountid:62fbb4260bb03d8a6cb28491] ,,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,,DIPP-26,,,,,,,,,0|i0000m:z,,,,29/Jan/23 12:00 AM,,,,,,,,Done
Ingestion - Alerts,DIPP-21,10020,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Aranyi,63cfe31ba05386069cda49af,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 12:41 PM,13/Feb/23 2:29 PM,30/Mar/23 12:59 PM,13/Feb/23 2:29 PM,,0,Ingestion,,,,,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,DIPP-15,,,,,,,,,,0|i00039:19,DIPP Sprint 2,,,,,,,,,,,Done
Ingestion Futár,DIPP-20,10019,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 12:40 PM,20/Feb/23 5:16 PM,30/Mar/23 12:59 PM,20/Feb/23 5:16 PM,,0,2_review,Ingestion,,,,Botond_Besnyi,Gábor Fábián,Tamas Adami,,63cfe31bc7e5fd35203b3219,63cfe31ba197e05f9dad5aa6,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,DIPP-15,,,,,,,,,,0|i00033:4i,DIPP Sprint 3,,,,,10/Feb/23 1:17 PM;63cfe31ba197e05f9dad5aa6;[~accountid:63cfe31bc7e5fd35203b3219] egy url-t a PR-hez beraksz kérlek?,10/Feb/23 1:36 PM;63cfe31bc7e5fd35203b3219;[https://git.epam.com/adam_posta/bkk/-/merge_requests/2|https://git.epam.com/adam_posta/bkk/-/merge_requests/2],,,,,Done
Ingestion - Menetrend (Time table),DIPP-19,10018,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 12:21 PM,08/Feb/23 1:59 PM,30/Mar/23 12:59 PM,08/Feb/23 1:59 PM,,0,Ingestion,,,,,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,DIPP-15,,,,,,,,,,,,,,,0|i00039:4,DIPP Sprint 2,,,,,,,,,,,Done
Ingestion - Trip,DIPP-18,10017,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 11:21 AM,09/Feb/23 10:29 AM,30/Mar/23 12:59 PM,08/Feb/23 1:02 PM,,0,,,,,,Gábor Fábián,Tamas Adami,,,63cfe31ba197e05f9dad5aa6,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,DIPP-15,,,,,,,,,,,,,,,,0|i00039:r,DIPP Sprint 2,,,,5.0,27/Jan/23 3:08 PM;63cfe31ba197e05f9dad5aa6;[https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/spark-simple-ingest/src/main/java/com/epam/suhudata01/bkk|https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/spark-simple-ingest/src/main/java/com/epam/suhudata01/bkk],30/Jan/23 5:01 PM;63cfe31ba197e05f9dad5aa6;[https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/retrofit-okhttp-okio|https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/retrofit-okhttp-okio],"02/Feb/23 9:21 AM;63cfe31ba197e05f9dad5aa6;PR: [https://gitbud.epam.com/gabor_fabian1/bkk/-/merge_requests/1|https://gitbud.epam.com/gabor_fabian1/bkk/-/merge_requests/1]

[Internal Data Project|https://dataint23.atlassian.net/jira/people/team/c22d40e4-453d-4ed1-b1e0-51715138cfcb?ref=jira$&src=issue] ([~accountid:63cfe31ba197e05f9dad5aa6] [~accountid:63d39e92f6e1b543161772c7] [~accountid:63cfe31ba05386069cda49af] [~accountid:63cfe31bc565900ff4050272] [~accountid:63cfe31bc7e5fd35203b3219] [~accountid:63cfe31bf386bda5dcab317d] [~accountid:63cfe31bf386bda5dcab317c] [~accountid:63cfe31b16dfc2b1fbca1f76] [~accountid:557058:75793878-96f9-421a-b729-5480491e22d6])",,,,Done
Ingestion - Position,DIPP-17,10016,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 11:21 AM,09/Feb/23 10:29 AM,30/Mar/23 12:59 PM,08/Feb/23 1:02 PM,,0,,,,,,Gábor Fábián,Tamas Adami,,,63cfe31ba197e05f9dad5aa6,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,DIPP-15,,,,,,,,,,,,,,,,0|i0003a:,DIPP Sprint 2,,,,,27/Jan/23 11:53 AM;63cfe31ba197e05f9dad5aa6;Done in Java,27/Jan/23 3:08 PM;63cfe31ba197e05f9dad5aa6;[https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/spark-simple-ingest/src/main/java/com/epam/suhudata01/bkk|https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/spark-simple-ingest/src/main/java/com/epam/suhudata01/bkk],30/Jan/23 5:01 PM;63cfe31ba197e05f9dad5aa6;[https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/retrofit-okhttp-okio|https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/retrofit-okhttp-okio],"02/Feb/23 9:20 AM;63cfe31ba197e05f9dad5aa6;PR: [https://gitbud.epam.com/gabor_fabian1/bkk/-/merge_requests/1|https://gitbud.epam.com/gabor_fabian1/bkk/-/merge_requests/1]

[Internal Data Project|https://dataint23.atlassian.net/jira/people/team/c22d40e4-453d-4ed1-b1e0-51715138cfcb?ref=jira$&src=issue] ([~accountid:63cfe31ba197e05f9dad5aa6] [~accountid:63d39e92f6e1b543161772c7] [~accountid:63cfe31ba05386069cda49af] [~accountid:63cfe31bc565900ff4050272] [~accountid:63cfe31bc7e5fd35203b3219] [~accountid:63cfe31bf386bda5dcab317d] [~accountid:63cfe31bf386bda5dcab317c] [~accountid:63cfe31b16dfc2b1fbca1f76] [~accountid:557058:75793878-96f9-421a-b729-5480491e22d6])",,,Done
Data Transformation,DIPP-16,10015,Epic,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,,,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 11:06 AM,06/Feb/23 9:20 AM,30/Mar/23 12:59 PM,,,0,,,,,,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,,,,,,,To Do
Data Ingestion,DIPP-15,10014,Feature,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,,,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Jan/23 11:06 AM,23/Feb/23 9:23 AM,30/Mar/23 12:59 PM,23/Feb/23 9:23 AM,,0,,,,,,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,DIPP-19,DIPP-17,DIPP-18,,,,,DIPP-20,DIPP-21,DIPP-24,DIPP-25,,,,,,0|i0000j:,,,,,,,,,,10001,Create report from BKK data,Done
Load TripUpdates data and save it as Avro,DIPP-14,10013,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Gábor Fábián,63cfe31ba197e05f9dad5aa6,27/Jan/23 10:19 AM,24/Feb/23 9:13 AM,30/Mar/23 12:59 PM,24/Feb/23 9:13 AM,,0,,,,,,Gábor Fábián,,,,63cfe31ba197e05f9dad5aa6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,,27/Jan/23 3:06 PM;63cfe31ba197e05f9dad5aa6;[https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/spark-simple-ingest/src/main/java/com/epam/suhudata01/bkk|https://gitbud.epam.com/gabor_fabian1/bkk/-/tree/spark-simple-ingest/src/main/java/com/epam/suhudata01/bkk],,,,,,Done
Realtime bus locations visualization on map,DIPP-13,10012,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Gábor Fábián,63cfe31ba197e05f9dad5aa6,26/Jan/23 10:07 AM,27/Jan/23 10:17 AM,30/Mar/23 12:59 PM,27/Jan/23 10:16 AM,,0,,,,,,Gábor Fábián,,,,63cfe31ba197e05f9dad5aa6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002f:,,,,,,,,,,,,Done
Make correlations between bus delays and rainfall,DIPP-12,10011,Story,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,26/Jan/23 9:33 AM,26/Jan/23 9:33 AM,30/Mar/23 12:59 PM,,,0,,,,,,Adam_Aranyi,,,,63cfe31ba05386069cda49af,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00027:,,,,,,,,,,,,To Do
Categorize and normalize fields in gtfs data,DIPP-11,10010,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Peter_Hegedus3,63cfe31b16dfc2b1fbca1f76,Peter_Hegedus3,63cfe31b16dfc2b1fbca1f76,Peter_Hegedus3,63cfe31b16dfc2b1fbca1f76,26/Jan/23 9:30 AM,24/Feb/23 9:19 AM,30/Mar/23 12:59 PM,24/Feb/23 9:19 AM,,0,,,,"There are optional and required fields in GTFS data, some field names are missing from realtime data, others are not filled with data (like congestion_level).",,Peter_Hegedus3,,,,63cfe31b16dfc2b1fbca1f76,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001z:,,,,,,,,,,,,Done
Create a Visualization,DIPP-10,10009,Epic,In Progress,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,,,David_Brozovics,63cfe31b5a23f7e717cdbbc5,David_Brozovics,63cfe31b5a23f7e717cdbbc5,26/Jan/23 9:23 AM,28/Feb/23 2:42 PM,30/Mar/23 12:59 PM,,19/Apr/23 12:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003n:,,,,07/Mar/23 12:00 AM,,,,,,,,In Progress
